Location,Date,Min Delay,stop_lat,stop_lon,stop_id,predictions
KIPLING STATION,2023-11-01,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-03,12.166666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-04,10.25,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-05,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-06,30.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-07,8.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-08,12.666666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-09,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-10,22.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-11,21.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-12,7.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-13,16.8,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-14,12.857142857142858,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-15,13.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-16,9.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-17,14.166666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-18,14.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-19,13.333333333333334,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-20,6.333333333333333,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-21,14.666666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-22,15.666666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-23,12.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-24,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-25,22.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-26,18.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-27,11.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-28,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-29,13.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-11-30,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-01,5.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-02,12.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-03,15.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-04,11.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-05,12.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-06,15.285714285714286,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-07,10.6,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-08,8.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-09,12.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-10,13.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-11,9.75,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-12,9.666666666666666,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-13,6.666666666666667,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-14,12.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-15,16.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-16,6.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-17,15.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-18,15.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-19,14.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-20,13.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-21,11.5,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-22,0.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-23,5.8,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-24,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-26,10.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-27,12.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-28,11.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-29,11.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-30,15.0,43.637209,-79.536117,59,14.577773
KIPLING STATION,2023-12-31,15.5,43.637209,-79.536117,59,14.577773
LAWRENCE EAST STATION,2023-10-05,10.0,43.750296,-79.270405,61,7.69143
LAWRENCE STATION,2023-10-03,24.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-06,12.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-07,15.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-08,0.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-11,8.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-13,8.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-14,15.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-15,22.5,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-20,24.333333333333332,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-21,20.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-23,0.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-26,45.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-28,21.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-29,10.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-30,9.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-10-31,10.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-01,6.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-03,24.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-04,30.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-05,33.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-06,9.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-07,8.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-09,8.5,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-10,8.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-11,16.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-14,16.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-15,8.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-11-28,30.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-12-02,20.0,43.725556,-79.402351,62,12.763076
LAWRENCE STATION,2023-12-09,22.0,43.725556,-79.402351,62,12.763076
LAWRENCE WEST STATION,2023-10-02,22.0,43.716218,-79.444374,63,8.115048
